order_id,order_time,day_of_week,num_items,order_value,prep_time,restaurant_load,rider_assignment_delay,pickup_wait,distance_km,traffic_level,weather,area_type,rider_experience,peak_hour,actual_delivery_time,promised_eta,customer_zone,restaurant_zone,batch_delivery
ORD-1000,12:55,Monday,3,904,13,High,13,2,1.1,Moderate,Rain,Suburban,Moderate,Yes,35,32,Z8,Z6,No
ORD-1001,19:48,Saturday,7,1270,19,Moderate,2,3,5.5,Moderate,Clear,Dense Urban,Moderate,Yes,47,51,Z2,Z8,No
ORD-1002,20:51,Wednesday,6,1607,26,Moderate,2,6,3.3,Low,Hot,Suburban,Moderate,Yes,44,43,Z1,Z3,No
ORD-1003,20:11,Tuesday,2,449,13,Moderate,15,4,1.6,Moderate,Rain,Suburban,Experienced,Yes,44,35,Z7,Z6,Yes
ORD-1004,19:28,Monday,2,421,10,Moderate,1,4,4.2,Moderate,Cold,Urban,Moderate,Yes,47,36,Z6,Z3,No
ORD-1005,11:40,Friday,2,413,9,Low,4,3,3.5,Severe,Clear,Urban,Experienced,No,37,40,Z4,Z8,No
ORD-1006,10:55,Saturday,1,200,10,Low,7,2,7.0,Low,Rain,Suburban,Moderate,No,39,43,Z8,Z1,No
ORD-1007,11:57,Friday,4,641,14,Low,7,2,1.8,Moderate,Hot,Dense Urban,Moderate,No,35,29,Z5,Z2,No
ORD-1008,20:52,Sunday,4,693,21,Moderate,4,6,4.5,Heavy,Clear,Suburban,New,Yes,54,47,Z4,Z6,Yes
ORD-1009,13:25,Thursday,5,733,21,Moderate,4,3,4.7,Moderate,Clear,Urban,Experienced,Yes,42,40,Z8,Z5,No
ORD-1010,17:33,Monday,3,684,14,Moderate,8,4,5.8,Low,Rain,Suburban,Moderate,No,50,42,Z2,Z8,Yes
ORD-1011,14:03,Wednesday,3,327,17,Very High,7,11,6.7,Low,Hot,Suburban,New,Yes,50,54,Z5,Z8,No
ORD-1012,20:20,Tuesday,4,523,24,Very High,2,3,0.7,Heavy,Clear,Dense Urban,New,Yes,38,28,Z4,Z2,No
ORD-1013,13:46,Saturday,3,714,27,Very High,2,1,7.0,Moderate,Rain,Suburban,Experienced,Yes,57,58,Z2,Z6,Yes
ORD-1014,22:48,Saturday,3,386,16,High,2,11,5.1,Moderate,Clear,Suburban,Moderate,No,44,46,Z1,Z7,No
ORD-1015,09:29,Thursday,7,1394,14,Low,1,3,3.7,Low,Clear,Suburban,Experienced,No,31,40,Z8,Z3,Yes
ORD-1016,22:55,Wednesday,1,185,12,High,1,3,5.4,Low,Cold,Urban,Moderate,No,33,37,Z1,Z1,No
ORD-1017,19:21,Thursday,3,345,12,Moderate,3,5,4.4,Heavy,Clear,Urban,Experienced,Yes,38,64,Z7,Z2,No
ORD-1018,12:50,Saturday,3,531,21,Very High,4,1,5.9,Heavy,Clear,Urban,Moderate,Yes,48,48,Z5,Z8,No
ORD-1019,11:58,Tuesday,2,557,15,High,1,2,4.9,Moderate,Clear,Urban,Experienced,No,34,45,Z1,Z8,No
ORD-1020,21:03,Friday,2,341,13,Low,4,3,1.4,Moderate,Clear,Dense Urban,New,Yes,49,28,Z3,Z7,No
ORD-1021,20:16,Tuesday,7,1562,19,High,2,3,3.2,Moderate,Rain,Urban,Experienced,Yes,37,47,Z2,Z6,No
ORD-1022,20:35,Saturday,5,1153,17,Very High,4,2,3.3,Heavy,Clear,Urban,Moderate,Yes,37,42,Z4,Z7,No
ORD-1023,14:35,Friday,5,546,20,Moderate,4,1,1.6,Low,Clear,Suburban,Moderate,No,32,31,Z1,Z5,No
ORD-1024,23:39,Thursday,2,479,11,Moderate,2,7,0.5,Severe,Hot,Urban,Experienced,No,26,20,Z6,Z7,No
ORD-1025,20:50,Friday,5,721,11,Low,4,4,3.4,Low,Clear,Suburban,Moderate,Yes,29,48,Z8,Z1,No
ORD-1026,13:55,Wednesday,4,968,14,High,1,2,4.2,Severe,Clear,Dense Urban,Experienced,Yes,43,43,Z6,Z5,No
ORD-1027,20:11,Sunday,1,171,9,Moderate,5,3,1.3,Moderate,Clear,Urban,Moderate,Yes,27,26,Z5,Z1,Yes
ORD-1028,22:27,Monday,2,449,26,Very High,6,3,4.5,Moderate,Hot,Urban,New,Yes,55,44,Z6,Z7,Yes
ORD-1029,13:27,Wednesday,3,1520,15,High,2,2,1.9,Heavy,Clear,Dense Urban,Experienced,Yes,32,37,Z6,Z7,No
ORD-1030,13:11,Wednesday,2,298,10,Moderate,3,4,3.7,Moderate,Hot,Urban,Moderate,Yes,31,41,Z2,Z1,No
ORD-1031,14:55,Tuesday,3,372,14,Very High,3,12,5.7,Heavy,Fog,Suburban,Moderate,No,52,48,Z8,Z3,No
ORD-1032,12:46,Saturday,1,202,11,High,7,5,0.7,Moderate,Fog,Suburban,New,Yes,29,36,Z7,Z8,No
ORD-1033,23:14,Monday,2,462,10,Low,4,3,3.8,Low,Clear,Dense Urban,Experienced,No,31,36,Z3,Z3,No
ORD-1034,21:41,Friday,2,614,15,Moderate,1,2,2.0,Severe,Cold,Dense Urban,Moderate,Yes,36,38,Z5,Z4,No
ORD-1035,10:01,Saturday,3,854,13,Low,6,4,2.3,Moderate,Rain,Urban,Moderate,No,41,31,Z3,Z3,Yes
ORD-1036,19:07,Wednesday,2,341,7,Low,5,2,1.3,Heavy,Hot,Dense Urban,Experienced,Yes,24,26,Z1,Z5,No
ORD-1037,18:13,Wednesday,5,755,10,Moderate,2,4,3.1,Low,Clear,Dense Urban,Experienced,No,29,32,Z2,Z8,No
ORD-1038,21:18,Thursday,2,235,10,Moderate,6,4,6.4,Moderate,Rain,Urban,New,Yes,46,49,Z6,Z1,No
ORD-1039,20:28,Wednesday,2,278,18,High,8,6,3.8,Severe,Clear,Urban,Moderate,Yes,53,40,Z8,Z8,No
ORD-1040,21:14,Wednesday,6,1027,13,Moderate,10,1,1.7,Low,Cold,Suburban,Experienced,Yes,31,32,Z6,Z4,No
ORD-1041,20:20,Friday,2,519,21,Very High,7,4,4.8,Moderate,Clear,Urban,Moderate,Yes,52,42,Z5,Z2,Yes
ORD-1042,11:47,Wednesday,2,606,8,Moderate,2,2,2.3,Low,Clear,Urban,Experienced,No,20,49,Z1,Z5,No
ORD-1043,20:45,Saturday,2,283,19,Moderate,3,4,0.7,Severe,Clear,Urban,Moderate,Yes,33,29,Z6,Z4,No
