order_id,order_time,day_of_week,num_items,order_value,prep_time,restaurant_load,rider_assignment_delay,pickup_wait,distance_km,traffic_level,weather,area_type,rider_experience,peak_hour,actual_delivery_time,promised_eta,customer_zone,restaurant_zone,batch_delivery
ORD-1000,18:04,Monday,4,737,23,Moderate,4,3,2.2,Heavy,Clear,Dense Urban,Experienced,No,43,35,Z7,Z4,No
ORD-1001,18:06,Saturday,2,658,11,Moderate,5,4,3.1,Low,Clear,Dense Urban,Experienced,No,33,36,Z4,Z5,No
ORD-1002,22:28,Wednesday,3,386,13,Low,4,5,1.7,Heavy,Clear,Urban,Experienced,Yes,31,32,Z7,Z7,No
ORD-1003,21:54,Friday,3,367,20,Very High,4,3,5.6,Moderate,Clear,Dense Urban,New,Yes,50,49,Z7,Z2,No
ORD-1004,13:30,Sunday,5,959,12,Moderate,5,2,1.3,Low,Fog,Suburban,Moderate,Yes,30,34,Z8,Z7,Yes
ORD-1005,13:49,Saturday,3,604,29,Very High,13,5,2.0,Moderate,Clear,Urban,Moderate,Yes,56,60,Z2,Z8,No
ORD-1006,12:42,Tuesday,3,405,18,Moderate,1,5,4.4,Heavy,Cold,Urban,Moderate,Yes,46,43,Z4,Z2,Yes
ORD-1007,11:52,Monday,1,393,7,Low,1,3,2.7,Severe,Clear,Dense Urban,Moderate,No,30,29,Z5,Z2,No
ORD-1008,13:49,Wednesday,6,776,16,Moderate,1,5,2.3,Heavy,Clear,Dense Urban,Moderate,Yes,50,41,Z3,Z8,No
ORD-1009,22:31,Thursday,5,559,17,Low,1,3,2.3,Moderate,Hot,Dense Urban,New,No,39,37,Z6,Z5,Yes
ORD-1010,20:19,Saturday,1,242,12,High,8,2,5.1,Low,Hot,Suburban,Moderate,Yes,36,38,Z1,Z2,No
ORD-1011,20:47,Sunday,3,633,18,Very High,1,9,4.4,Heavy,Clear,Urban,New,Yes,47,45,Z3,Z5,No
ORD-1012,10:16,Monday,3,299,15,High,1,6,1.9,Moderate,Clear,Urban,Moderate,No,30,31,Z4,Z6,No
ORD-1013,13:05,Monday,4,576,14,Moderate,14,3,3.0,Low,Rain,Suburban,Moderate,Yes,45,35,Z7,Z1,Yes
ORD-1014,21:46,Monday,4,1069,18,High,2,5,5.3,Heavy,Clear,Urban,Experienced,Yes,45,50,Z7,Z4,No
ORD-1015,18:53,Sunday,2,296,13,High,4,5,1.9,Heavy,Clear,Dense Urban,Moderate,No,42,40,Z5,Z6,No
ORD-1016,20:44,Sunday,2,430,14,Moderate,8,2,3.5,Moderate,Clear,Dense Urban,Moderate,Yes,59,39,Z7,Z1,No
ORD-1017,11:27,Wednesday,3,471,13,Low,2,4,4.6,Moderate,Rain,Urban,Moderate,No,59,41,Z2,Z7,No
