order_id,order_time,day_of_week,num_items,order_value,prep_time,restaurant_load,rider_assignment_delay,pickup_wait,distance_km,traffic_level,weather,area_type,rider_experience,peak_hour,actual_delivery_time,promised_eta,customer_zone,restaurant_zone,batch_delivery
ORD-1000,21:02,Monday,3,399,28,High,2,2,4.0,Heavy,Clear,Urban,Experienced,Yes,51,43,Z2,Z7,No
ORD-1001,17:54,Monday,2,409,6,Low,3,2,4.9,Low,Hot,Urban,Experienced,No,26,46,Z1,Z2,No
ORD-1002,19:51,Thursday,2,347,17,High,3,2,1.1,Heavy,Clear,Urban,Moderate,Yes,30,35,Z4,Z2,No
ORD-1003,23:15,Saturday,3,720,17,Low,3,3,4.1,Moderate,Clear,Urban,Moderate,No,39,34,Z8,Z3,No
ORD-1004,20:42,Sunday,6,719,20,Moderate,4,2,1.7,Heavy,Clear,Dense Urban,Moderate,Yes,38,38,Z8,Z5,No
ORD-1005,19:24,Tuesday,2,345,17,High,4,4,4.7,Moderate,Clear,Suburban,Moderate,Yes,43,49,Z5,Z5,Yes
ORD-1006,11:15,Sunday,3,492,13,Low,4,2,5.6,Low,Rain,Suburban,Moderate,No,36,44,Z4,Z2,No
ORD-1007,21:19,Friday,2,212,11,High,1,4,1.6,Severe,Cold,Dense Urban,New,Yes,30,29,Z3,Z7,No
ORD-1008,21:05,Tuesday,5,692,21,High,11,3,4.6,Severe,Clear,Dense Urban,Moderate,Yes,65,52,Z5,Z4,No
ORD-1009,21:22,Friday,4,1874,28,Very High,2,2,4.5,Heavy,Clear,Dense Urban,Moderate,Yes,53,46,Z3,Z7,No
ORD-1010,10:46,Friday,1,187,8,Moderate,4,6,1.4,Moderate,Clear,Dense Urban,Moderate,No,27,22,Z1,Z2,No
ORD-1011,13:23,Friday,3,521,14,Moderate,7,2,3.0,Moderate,Clear,Dense Urban,Experienced,Yes,38,39,Z1,Z8,No
ORD-1012,21:05,Monday,1,104,10,High,3,14,4.1,Heavy,Clear,Urban,Experienced,Yes,41,41,Z1,Z8,No
ORD-1013,20:09,Wednesday,1,314,11,Very High,1,10,1.9,Low,Clear,Urban,Moderate,Yes,30,30,Z3,Z1,No
ORD-1014,12:30,Friday,3,433,10,Low,1,6,8.7,Severe,Hot,Urban,Moderate,Yes,56,61,Z7,Z1,No
ORD-1015,20:45,Sunday,4,884,12,Low,2,4,1.5,Severe,Clear,Urban,Experienced,Yes,39,36,Z5,Z5,No
ORD-1016,14:25,Saturday,3,541,20,Moderate,3,1,2.2,Low,Clear,Urban,Experienced,Yes,31,31,Z6,Z7,No
ORD-1017,18:52,Wednesday,5,705,19,Moderate,1,3,1.3,Heavy,Hot,Dense Urban,Moderate,No,50,27,Z2,Z4,No
ORD-1018,22:46,Sunday,1,312,10,High,2,2,1.0,Heavy,Hot,Dense Urban,Moderate,No,24,29,Z8,Z2,No
ORD-1019,13:51,Monday,1,180,6,Moderate,7,5,0.7,Moderate,Clear,Suburban,Experienced,Yes,24,21,Z5,Z8,No
ORD-1020,12:46,Thursday,1,173,13,High,9,3,15.6,Moderate,Clear,Suburban,Moderate,Yes,70,84,Z5,Z2,No
ORD-1021,23:16,Thursday,1,218,11,Moderate,4,3,9.0,Heavy,Clear,Urban,New,No,56,60,Z3,Z2,Yes
ORD-1022,21:24,Wednesday,1,213,7,Moderate,2,2,4.0,Heavy,Clear,Suburban,Experienced,Yes,27,41,Z4,Z3,No
