order_id,order_time,day_of_week,num_items,order_value,prep_time,restaurant_load,rider_assignment_delay,pickup_wait,distance_km,traffic_level,weather,area_type,rider_experience,peak_hour,actual_delivery_time,promised_eta,customer_zone,restaurant_zone,batch_delivery
ORD-1000,22:41,Thursday,3,516,11,Moderate,1,1,4.9,Moderate,Clear,Urban,Moderate,No,28,59,Z5,Z7,No
ORD-1001,11:12,Thursday,9,1832,20,Very High,4,2,1.5,Moderate,Hot,Urban,Moderate,No,33,42,Z7,Z7,No
ORD-1002,16:12,Sunday,2,294,6,Moderate,2,1,1.7,Moderate,Rain,Dense Urban,Experienced,No,21,32,Z1,Z7,No
ORD-1003,12:58,Wednesday,3,857,16,Moderate,4,3,4.6,Heavy,Clear,Urban,Moderate,Yes,43,43,Z5,Z2,No
ORD-1004,19:31,Wednesday,1,250,9,High,4,15,6.5,Severe,Hot,Suburban,Moderate,Yes,63,52,Z5,Z3,No
ORD-1005,19:10,Tuesday,2,409,10,High,3,3,1.7,Moderate,Hot,Urban,Moderate,Yes,25,32,Z5,Z1,No
ORD-1006,13:42,Thursday,2,349,18,High,2,8,3.5,Moderate,Clear,Urban,Moderate,Yes,45,42,Z7,Z6,Yes
ORD-1007,21:59,Thursday,1,206,11,Moderate,4,5,5.6,Heavy,Clear,Urban,New,Yes,54,44,Z3,Z4,No
ORD-1008,10:35,Saturday,2,235,11,Low,6,5,2.5,Heavy,Rain,Urban,New,No,37,35,Z5,Z3,No
ORD-1009,23:18,Wednesday,10,1919,17,Low,3,2,7.2,Heavy,Rain,Urban,Moderate,No,60,65,Z7,Z4,No
ORD-1010,19:25,Tuesday,4,1160,11,Moderate,3,1,2.0,Heavy,Clear,Suburban,Moderate,Yes,26,41,Z3,Z1,No
ORD-1011,15:12,Tuesday,3,912,15,Moderate,5,4,4.8,Low,Clear,Dense Urban,New,No,44,59,Z1,Z8,No
ORD-1012,13:15,Saturday,1,139,11,High,7,11,2.9,Heavy,Rain,Dense Urban,Experienced,Yes,49,36,Z4,Z1,No
ORD-1013,21:57,Tuesday,2,368,22,High,6,5,3.4,Heavy,Rain,Dense Urban,Experienced,Yes,51,44,Z2,Z3,No
ORD-1014,19:29,Tuesday,3,634,17,Moderate,4,3,1.2,Moderate,Clear,Urban,Moderate,Yes,31,25,Z2,Z2,No
ORD-1015,19:06,Saturday,3,511,12,Moderate,5,3,6.7,Heavy,Clear,Dense Urban,New,Yes,60,54,Z7,Z8,Yes
ORD-1016,14:03,Saturday,2,291,8,Moderate,6,7,10.1,Low,Clear,Suburban,Moderate,Yes,41,58,Z5,Z5,No
ORD-1017,19:03,Monday,1,130,10,High,2,2,1.6,Heavy,Hot,Urban,Experienced,Yes,24,24,Z6,Z4,No
ORD-1018,21:33,Monday,1,357,16,High,6,3,2.0,Moderate,Rain,Dense Urban,Moderate,Yes,49,48,Z7,Z8,No
ORD-1019,19:31,Wednesday,1,153,11,High,6,2,4.1,Heavy,Clear,Urban,New,Yes,40,36,Z1,Z5,Yes
ORD-1020,13:57,Wednesday,3,627,27,Very High,11,10,7.4,Low,Clear,Suburban,New,Yes,70,82,Z4,Z2,No
ORD-1021,12:11,Friday,7,1039,34,Very High,6,3,1.9,Moderate,Clear,Dense Urban,Experienced,Yes,56,35,Z3,Z7,Yes
ORD-1022,18:23,Tuesday,2,236,11,Low,3,9,2.3,Moderate,Rain,Dense Urban,Moderate,No,38,30,Z6,Z4,No
ORD-1023,12:04,Sunday,8,646,36,High,6,2,4.3,Heavy,Rain,Urban,Moderate,Yes,68,57,Z2,Z2,Yes
ORD-1024,13:09,Tuesday,1,269,8,Moderate,5,5,3.8,Low,Clear,Suburban,Experienced,Yes,29,33,Z1,Z3,No
ORD-1025,22:57,Sunday,3,469,14,High,1,2,2.0,Low,Clear,Urban,Moderate,No,25,36,Z4,Z8,No
ORD-1026,21:25,Wednesday,4,654,22,Very High,6,4,3.9,Moderate,Clear,Urban,Experienced,Yes,61,42,Z8,Z7,No
ORD-1027,12:08,Friday,4,1405,30,High,7,3,1.0,Heavy,Clear,Urban,Moderate,Yes,47,28,Z7,Z1,No
